"@timestamp",pkttype,"header.manufacturerId"
"Jan 15, 2025 @ 17:49:13.810",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 17:49:08.450",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 17:27:52.802",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 17:27:48.276",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 17:26:00.436",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 17:25:55.285",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 17:23:59.703",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 17:23:49.878",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 17:06:03.728",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 17:05:58.274",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 16:55:23.394",vehicleBusStatus,0071009D62
"Jan 15, 2025 @ 16:43:09.317",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 16:43:04.348",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 16:40:13.534",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 16:38:15.995",vehicleBusStatus,0071009D62
"Jan 15, 2025 @ 16:36:51.311",vehicleBusStatus,0071009947
"Jan 15, 2025 @ 16:28:56.729",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 16:28:52.322",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 16:28:46.431",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 16:28:41.661",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 16:26:07.197",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 16:26:02.918",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 16:24:23.008",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 16:24:18.029",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 16:24:11.735",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 16:24:06.347",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 16:17:35.234",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 16:17:30.339",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 16:17:06.098",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 16:17:01.562",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 16:15:10.134",vehicleBusStatus,0071009189
"Jan 15, 2025 @ 16:08:46.088",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 16:08:42.402",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 15:58:29.695",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 15:58:24.315",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 15:56:08.014",vehicleBusStatus,0071008A20
